sample_id	Cell Cycle	HIPPO	MYC	NOTCH	NRF2	PI3K	RTK RAS	TP53	TGF-Beta	WNT
f854ae3f-356d-f0ad-e040-11ac0c485dae	1	0	0	0	0	0	0	1	0	0
f86b7e84-7040-c751-e040-11ac0c485675	1	0	0	0	1	0	0	1	0	0
f87d7c27-eeef-920e-e040-11ac0d48388d	1	0	0	0	0	0	0	1	0	0
f82d213f-caa7-fd59-e040-11ac0d483e46	0	0	0	0	0	0	0	1	0	0
f82d213f-bc99-5b1d-e040-11ac0c486880	1	0	0	0	0	0	0	1	0	0
f8407106-8a96-8f85-e040-11ac0d481656	1	0	0	0	0	1	0	1	0	0
f8425828-5b0f-23a8-e040-11ac0d484128	1	0	0	0	0	1	0	1	0	0
f8593ac0-9480-22a0-e040-11ac0d48697a	1	0	0	0	0	0	1	1	0	0
f85add3d-e2e6-31f8-e040-11ac0d48479c	1	0	0	0	0	0	0	0	0	0
f86e2d80-911b-7a19-e040-11ac0d486900	1	0	0	0	0	0	0	1	0	0
f83f1eb8-b2c8-c3d6-e040-11ac0c48261e	1	0	0	0	0	0	0	0	0	0
f85ae2b7-cebf-17a2-e040-11ac0c48033a	1	0	0	0	0	1	1	1	0	0
f86975a2-78a4-ef8c-e040-11ac0c4809da	1	0	0	0	0	0	0	1	0	0
f87348df-7186-4c6b-e040-11ac0c482ba9	1	0	0	0	0	0	0	1	0	0
f87eb1b5-1712-ca1f-e040-11ac0c483848	1	0	0	0	0	0	0	0	0	0
fc968a86-32e3-ee88-e040-11ac0d487adb	1	0	0	0	0	0	0	0	0	0
fc969f27-bdc6-cd03-e040-11ac0c48577e	1	0	0	0	0	0	0	0	0	0
fc975588-6e70-b496-e040-11ac0c484689	1	0	0	0	0	0	0	0	0	0
f866123a-9eb0-e856-e040-11ac0c48717e	1	0	0	0	0	1	0	0	0	0
f87e94a9-ef37-fcba-e040-11ac0c482332	1	0	0	0	0	1	0	1	0	0
f82d213f-9ba5-7b6b-e040-11ac0c486882	1	0	0	0	0	0	0	0	0	0
f82d2146-70f5-8114-e040-11ac0d483e50	1	0	0	0	0	0	0	1	0	0
f860bc4c-f31b-6538-e040-11ac0c48268f	1	0	0	0	0	0	1	1	0	0
f86ae246-2492-9785-e040-11ac0d4813b0	1	0	0	0	0	0	1	0	0	0
f86b6ba2-8f4b-ee53-e040-11ac0d485904	1	0	0	0	0	0	1	0	0	0
f841c488-6b8d-6645-e040-11ac0c481418	0	0	0	0	0	0	0	1	0	0
fc950c33-faa4-0241-e040-11ac0c486786	0	0	0	0	0	0	0	1	0	0
fc962061-8ab0-42b3-e040-11ac0c4810cc	0	0	0	0	0	0	0	1	0	0
f843ed5c-0336-3d33-e040-11ac0d48478c	0	0	0	0	0	0	1	0	0	0
fc8130df-90ba-5d94-e040-11ac0d485e0c	0	0	0	0	0	1	0	1	0	0
fc8130e0-0f1a-b6eb-e040-11ac0c48328f	0	0	1	0	0	1	0	1	0	0
fc8130e0-a38a-23b9-e040-11ac0c48327f	0	0	0	1	0	1	1	1	0	0
fc8130e0-a538-dda3-e040-11ac0c483264	0	0	0	0	0	1	1	1	0	0
fc813235-5ed8-7695-e040-11ac0d485e3e	1	0	1	0	0	1	1	1	0	0
fc9f6916-da31-ab17-e040-11ac0c4808f3	1	0	0	0	0	1	0	0	0	0
f393baf9-2710-9203-e040-11ac0d484504	0	0	1	0	0	0	0	1	0	1
f393bb01-6ed7-9533-e040-11ac0d484521	1	0	1	0	0	0	0	1	0	0
f393bb05-ec1c-17be-e040-11ac0d48452f	1	0	1	0	0	0	0	0	0	0
f393bb07-270c-2c93-e040-11ac0d484533	1	0	1	0	0	0	0	0	0	0
f393bb08-4121-cad8-e040-11ac0d484535	1	0	1	0	0	0	1	0	0	0
f393bb0b-08ed-3335-e040-11ac0d484554	1	0	1	0	1	0	0	1	0	0
fc5dc6d8-62d2-76d8-e040-11ac0d4863c3	1	0	1	1	0	0	0	1	0	0
fc63cbab-d27a-5ebb-e040-11ac0c48724f	0	0	1	0	0	0	0	1	0	0
fc68e599-6a40-61dc-e040-11ac0d48700d	1	0	1	0	0	0	1	1	0	0
fc8130e0-08dd-b996-e040-11ac0c48327b	0	0	1	0	0	1	0	0	0	0
fc8130e5-18b8-ef38-e040-11ac0c483297	1	0	1	0	0	0	0	0	0	0
fc8130e0-0fde-b756-e040-11ac0c48328b	0	0	0	1	0	1	1	0	0	0
f393bb08-5b50-e009-e040-11ac0d484537	1	0	0	0	0	0	1	0	0	0
f7d70fac-c76f-399e-e040-11ac0c482f9c	1	0	0	0	0	0	0	1	0	0
f7e4a2a8-093d-9e36-e040-11ac0d480c7d	1	0	0	1	0	0	0	0	0	0
f7e7b258-b4b2-e6c5-e040-11ac0d486773	1	0	0	0	0	0	1	1	0	0
f7fdda4f-7bf7-ede7-e040-11ac0c486e57	1	0	0	0	0	0	1	1	0	0
fc447d53-24d1-c83d-e040-11ac0c4846a6	1	0	0	0	0	0	0	1	0	0
fc8130df-1bc2-c537-e040-11ac0d485de6	1	0	0	0	0	1	0	0	0	0
fc8130df-35ac-2304-e040-11ac0d485dda	1	0	0	1	0	0	0	0	0	0
fc8130df-6977-7704-e040-11ac0d485de4	1	0	0	0	0	1	0	0	0	0
fc8130df-8e4e-586b-e040-11ac0d485e08	1	0	0	1	0	0	1	0	0	0
fc8130e0-0b9c-bbc9-e040-11ac0c483266	1	0	0	0	0	0	0	0	0	0
fc8130e0-a774-d834-e040-11ac0c483268	1	0	0	0	0	0	0	1	0	0
fc93b9ab-760a-5223-e040-11ac0c482177	1	0	0	0	0	0	0	1	0	0
fc8130e0-09f1-b964-e040-11ac0c48326e	1	0	0	0	0	1	0	1	0	0
fc8130e0-0e1f-b54d-e040-11ac0c48326c	0	0	0	0	0	1	0	1	0	0
fc9f6cb0-ceb9-790d-e040-11ac0c480ad1	0	0	0	0	0	0	1	1	0	0
f393bb0a-9b20-a0e5-e040-11ac0d48454e	1	0	0	0	0	1	1	1	0	0
f393cfd8-ddbb-a0e1-e040-11ac0d48516b	0	0	0	0	0	0	1	0	0	0
f7b84b5d-8f28-e6b7-e040-11ac0c484704	0	0	0	0	0	1	1	0	0	0
f7d128d2-3964-e3bc-e040-11ac0d481667	0	0	0	0	0	0	1	0	0	0
fc8edf46-2005-1af4-e040-11ac0d481414	0	0	0	1	0	0	1	1	0	0
fca6150f-d555-a29e-e040-11ac0d4873b2	1	0	0	0	0	1	0	1	0	0
fc447d55-95d8-0b34-e040-11ac0d483afa	1	0	0	0	0	1	0	1	0	0
fc447d56-0d53-e0c3-e040-11ac0c4846a8	1	0	0	0	0	1	0	1	0	0
fc8130df-30a5-3e6a-e040-11ac0d485de2	0	0	0	0	0	1	0	0	0	0
fc8130e0-096a-b991-e040-11ac0c48327d	0	0	0	0	0	1	0	0	0	0
fc8130e0-a39a-23b5-e040-11ac0c483270	0	0	0	1	0	1	0	0	1	0
fc8130e3-01ba-c740-e040-11ac0c483291	1	0	0	0	0	1	0	0	0	0
f7f3e156-0dde-72b9-e040-11ac0d48542c	1	0	0	0	0	0	0	1	0	0
f393bb0c-3ffa-cb72-e040-11ac0d48455c	1	0	0	0	0	1	1	0	0	0
f809247c-2bab-ab06-e040-11ac0d482b8a	1	0	0	0	0	0	0	0	0	0
fc78685a-7053-152a-e040-11ac0c480ded	1	0	0	0	0	1	0	1	0	0
fc8130df-6860-7677-e040-11ac0d485ddc	1	0	0	0	0	1	0	0	0	0
f393bb05-53c2-f80a-e040-11ac0d484528	0	0	0	0	0	1	1	0	0	0
fc8130df-2d5f-3b53-e040-11ac0d485dee	0	0	0	1	0	0	1	1	0	0
0bfd1068-3fd3-a95b-e050-11ac0c4860c3	0	0	0	0	0	1	0	1	0	0
008bad10-d41b-4bbb-86fa-9976ecea46b1	1	0	0	0	0	1	0	1	0	0
44083f54-0953-48e3-a704-11ad0988ad2e	1	0	0	0	0	0	0	0	0	0
bc9f105f-6d99-44ac-9871-67defd5e85cd	1	0	0	0	0	1	0	0	0	0
0bfd1068-3fc5-a95b-e050-11ac0c4860c3	0	0	0	0	0	1	0	1	0	0
0bfd1068-3fcf-a95b-e050-11ac0c4860c3	0	0	0	0	0	1	0	1	0	0
126ee433-d345-4cac-882a-c91831a24690	0	0	0	0	0	1	0	1	0	0
145f2b89-8878-4390-b0f6-f09b02fb138a	0	0	0	0	0	1	0	0	0	0
186cacaf-4f20-4ad2-a07a-a7dc942a70b0	0	0	0	0	0	1	0	0	0	0
1bbfe6f2-ad19-4d29-895b-973f5a91c707	0	0	0	0	0	1	0	1	0	1
1d91f9c7-67ba-4606-9f0a-01ec6fc08262	0	0	0	0	0	1	0	0	0	0
306ef5bc-97d0-4312-ae0e-343c4e31d869	1	0	0	0	0	1	0	0	0	0
32d8c373-b5c8-420b-9808-8812b5501649	0	0	0	0	0	1	0	0	0	0
36962459-e81f-4b8c-a08d-df60ef3283a3	1	0	0	0	0	1	0	0	0	0
41027c0b-85af-4c78-bba0-0da63cd75fa9	1	0	0	0	0	1	0	1	0	0
42a548f0-d86a-4273-8bda-be0fe6a53b20	0	0	0	0	0	1	0	0	0	0
43b675e0-22e0-42d6-a060-afc93e22ac95	0	0	0	1	0	1	0	0	0	1
45d0ccb2-641f-4348-b3a8-61f4113cd85b	0	0	0	0	0	1	0	0	0	0
475bca00-9089-4f50-8638-4e5e8aca6dcd	0	0	0	0	0	1	0	0	0	0
4b44b313-6f74-4233-bec4-7e41c91c77f1	0	0	0	0	0	1	0	0	0	0
51adf6cf-f422-4d7e-aa46-cc9bf0ef8693	1	0	0	0	0	1	0	1	0	0
59938f45-3e57-43d6-af3b-bb4968249e5a	0	0	0	0	0	1	0	0	0	0
61973578-4c0d-4a3f-b9c4-f96ceab24629	0	0	0	0	0	1	0	0	0	0
6218f366-d5d2-4289-a95e-eeedfae7523a	0	0	0	0	0	1	0	0	0	0
6947cd78-0a51-4949-8383-343f9122d953	0	0	0	1	0	1	0	0	0	0
7181dd10-1371-4cb6-9219-a9542c62b854	0	0	0	0	0	1	0	1	0	0
783579bd-e29d-457c-8236-1a80b557600c	0	0	0	0	0	1	0	0	0	0
79914ce9-04d8-4b0d-9f16-2e528044966e	1	0	0	0	0	1	0	0	0	0
7dd2dc62-0eb4-4d45-86f1-e9e9377181ca	0	0	0	0	0	1	0	0	0	0
7fe96e71-436d-49d4-9e47-e104e1203568	0	0	0	0	0	1	0	0	1	0
84ae4dd8-f661-46aa-9892-69742e2f3542	0	0	0	0	0	1	0	0	0	0
86874a67-aa86-45f1-be32-3b2722ebedec	0	0	0	0	0	1	0	1	0	0
887616c5-06a7-4e83-948c-3546202349fb	1	0	0	0	0	1	0	0	0	0
8bbe4006-be0a-4cd5-91f6-529100d4f06e	0	0	0	0	0	1	0	0	0	0
8c0a7dfa-6ec3-4262-b718-c3605722df37	0	0	0	0	0	1	0	0	0	0
a1af7c42-47af-435c-bb51-b932a3cd7b91	0	0	0	0	0	1	0	1	0	0
a6d8467e-88e3-4ea5-8583-61c5ab9747ae	0	0	0	0	0	1	0	1	0	0
b2ec0fd0-fbcf-4abc-ad80-4ae444e30b55	0	0	0	0	0	1	0	1	0	0
b3f1d232-4392-4258-9256-d38ff4b59f94	1	0	0	0	0	1	0	0	0	0
bb02202f-d140-4bec-95ce-5c2b117a2167	0	0	0	0	0	1	0	0	0	0
beafb7c6-ef39-478e-aa47-0f1ad39f95a3	0	0	0	0	0	1	0	1	0	0
caf2e99d-8f1f-4043-b567-c3fe28dc33ac	0	0	0	0	0	1	0	0	0	0
cd0c3b1f-c73a-4991-8724-4e74381900cb	0	0	0	0	0	1	0	0	0	0
dbfdb5c6-f52e-48f3-87e7-fb922df9e7a9	0	0	0	0	0	1	0	0	0	0
dc85552c-2488-48d9-9da1-67a380945b85	1	0	0	0	0	1	0	0	0	0
dcc938da-3e45-4c2f-ae0f-47817be04518	0	0	0	0	0	1	0	0	0	0
f7cc504a-37c9-45f5-b50d-599c54dca157	1	0	0	0	0	1	0	0	0	0
